"USER_ID","ps_weight_st"
9233676,1.1537666457
10049140,0.4115672376
10464767,2.4555102925
10505808,2.3102097703
10567940,1.1829556561
10602160,0.0803761099
10606999,0.2820367147
10630252,1.8710610111
10964812,0.2820367147
11175067,0.1649510787
11176367,0.3638164319
11282298,0.3187966507
11291439,2.1337706282
11344367,0.2820367147
11512708,0.8336708068
11546578,2.3102097703
11553519,0.2820367147
11570344,0.754548029
11584576,3.4266122868
11585375,2.1691830763
11597312,2.1691830763
11654336,0.2820367147
11706769,0.5531246976
11770795,0.9571908409
11793413,0.2820367147
11840348,1.7461057767
11840392,1.7461057767
11905832,0.1687970879
12027494,1.7461057767
12033424,1.3597293808
12034231,0.3187966507
12081300,0.3638164319
12095519,1.0342934327
12126977,0.1687970879
12146303,0.6455320357
12195552,0.2358161812
12211613,0.5343224462
12279222,0.5632427905
12302325,0.4115672376
12390198,0.3187966507
12474610,0.2358161812
12502284,0.5632427905
12552716,0.1148203072
12612749,3.0940220832
12632832,2.6366307809
12639675,0.2820367147
12686990,0.8336708068
12712329,1.1829556561
12723506,0.8336708068
12726103,0.8951973018
12745317,0.4115672376
12773250,0.2820367147
12811253,0.452391019
12891295,2.6878107323
12935686,3.0940220832
12964737,1.0280979688
12987106,0.5632427905
13011535,0.4667456335
13189024,0.4667456335
13258476,0.8336708068
13268341,6.3108374586
13291840,2.4555102925
13341830,1.1188048478
13348095,1.3597293808
13373754,0.5632427905
13390785,0.0499949015
13411754,3.0940220832
13431054,0.2820367147
13445394,0.5343224462
13448152,0.0499949015
13451074,0.4667456335
13474958,0.6578365525
13474968,1.1829556561
13511179,0.2820367147
13520002,0.9659314335
13525882,0.3187966507
13538653,1.7033655543
13580015,0.3273455537
13585440,0.8951973018
13609901,0.4115672376
13632584,0.5632427905
13633812,0.6455320357
13645461,1.2996694294
13646887,1.8853229675
13667481,2.3102097703
13673308,0.1029985937
13680742,3.8807364502
13685395,0.0803761099
13725292,3.0940220832
13728114,0.5632427905
13730331,1.8853229675
13749791,0.2820367147
13750768,1.1188048478
13755134,1.3597293808
13764278,0.9571908409
13802150,0.2820367147
13807054,0.1148203072
13808428,0.7866801148
13826644,0.5632427905
13838867,3.9454649661
13839783,0.5632427905
13872619,0.5788688721
13887023,0.6455320357
13905075,0.6390348126
13908812,0.7216897149
13914546,1.1829556561
13930725,0.1649510787
13943422,0.9571908409
13946682,1.1829556561
13947600,1.8853229675
13961487,0.5632427905
14021238,0.8269154367
14029354,0.2820367147
14054211,0.2820367147
14067043,0.1687970879
14086489,0.5632427905
14087290,0.6455320357
14113896,3.4266122868
14114346,0.7216897149
14115388,1.8597366548
14145238,0.3187966507
14148052,0.3187966507
14149526,0.1270042174
14153101,2.6588502164
14160928,1.0280979688
14170406,0.4115672376
